Leader,Tweet,Sentiment
Narendra Modi,Modi's economic policies have boosted growth.,Positive
Narendra Modi,Demonetization was a masterstroke by Modi.,Positive
Narendra Modi,Modi's governance is full of corruption.,Negative
Narendra Modi,I admire Modi's leadership qualities.,Positive
Narendra Modi,Modi has failed to control inflation.,Negative
Narendra Modi,"Under Modi, India has achieved great success.",Positive
Narendra Modi,Modi's Make in India initiative is a game changer.,Positive
Narendra Modi,People are unhappy with Modi's foreign policies.,Negative
Narendra Modi,Modi has strengthened India's global position.,Positive
Narendra Modi,Healthcare policies under Modi are disappointing.,Negative
Narendra Modi,Modi's decisions have benefited common citizens.,Positive
Narendra Modi,Farmers are still struggling under Modi's government.,Negative
Narendra Modi,Modi is an excellent leader for the nation.,Positive
Narendra Modi,Modi has ignored education reforms.,Negative
Narendra Modi,Swachh Bharat Abhiyan is a great success.,Positive
Narendra Modi,The economy is suffering under Modi's leadership.,Negative
Narendra Modi,Modi's digital initiatives have transformed India.,Positive
Narendra Modi,Unemployment remains a big issue under Modi.,Negative
Narendra Modi,Modi's leadership during the pandemic was effective.,Positive
Narendra Modi,Critics say Modi stifles dissent.,Negative
Narendra Modi,Modi's diplomacy improved relations with neighbors.,Positive
Narendra Modi,Farmers protested against Modi's agricultural laws.,Negative
Narendra Modi,Modi focuses on infrastructure development.,Positive
Narendra Modi,Media freedom has declined under Modi.,Negative
Narendra Modi,Startup India helped young entrepreneurs thrive.,Positive
Narendra Modi,Modi's government ignores environmental issues.,Negative
Narendra Modi,Modi's leadership boosted tourism in India.,Positive
Narendra Modi,Rising fuel prices anger citizens under Modi.,Negative
Narendra Modi,Modi has made bold international alliances.,Positive
Narendra Modi,Inflation has worsened under Modi's government.,Negative
Narendra Modi,Modi’s support for digital economy is commendable.,Positive
Narendra Modi,Modi's policies favor the rich over poor.,Negative
Narendra Modi,Modi handled natural disasters with swift action.,Positive
Narendra Modi,Modi's tax reforms hurt small businesses.,Negative
Narendra Modi,Modi's Swachh Bharat mission improved sanitation.,Positive
Narendra Modi,Modi's response to minorities has been criticized.,Negative
Narendra Modi,Modi's initiatives for startups are commendable.,Positive
Narendra Modi,Under Modi's leadership India has gained global respect.,Positive
Narendra Modi,Swachh Bharat Abhiyan is a visionary campaign by Modi.,Positive
Narendra Modi,Modi's diplomatic efforts have strengthened international ties.,Positive
Narendra Modi,The Make in India movement has attracted foreign investment.,Positive
Narendra Modi,Modi's government is working hard to improve rural infrastructure.,Positive
Narendra Modi,Modi's speeches are inspiring and motivating.,Positive
Narendra Modi,Smart Cities Mission has modernized urban living standards.,Positive
Narendra Modi,Modi has prioritized national security effectively.,Positive
Narendra Modi,The Digital India campaign is transforming governance.,Positive
Narendra Modi,Modi's policies are creating more job opportunities.,Positive
Narendra Modi,Modi's foreign trips have benefited India economically.,Positive
Narendra Modi,Healthcare reforms under Modi are much needed.,Positive
Narendra Modi,Modi's vision for a self-reliant India is impressive.,Positive
Narendra Modi,His firm stance on terrorism is praiseworthy.,Positive
Narendra Modi,Modi has empowered women through various schemes.,Positive
Narendra Modi,Efforts to boost tourism under Modi are visible.,Positive
Narendra Modi,Education reforms under Modi are making a difference.,Positive
Narendra Modi,Modi connects well with the youth of the country.,Positive
Narendra Modi,Some policies under Modi need better execution.,Neutral
